date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:32	120/120	---M--	200	added ('OK')	text/plain	etag:%22548-1636665340;;;%22	https://www.chezlartisan.ma/robots.txt		(from )
10:52:33	501827/501827	---MCZ	200	added ('OK')	text/html	etag:W/%22536-1636619558;;;%22	https://www.chezlartisan.ma/	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/index.html	(from )
10:52:35	1/1	---MC-	307	error ('Temporary%20Redirect')	application/octet-stream	date:Sun,%2014%20Nov%202021%2009:52:32%20GMT	https://www.chezlartisan.ma/xmlrpc.php	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/xmlrpc.php	(from https://www.chezlartisan.ma/)
10:52:36	984/984	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202017%2001:28:02%20GMT	https://www.chezlartisan.ma/wp-content/themes/lartisan/images/default/fav-32.png	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/themes/lartisan/images/default/fav-32.png	(from https://www.chezlartisan.ma/)
10:52:37	257321/257321	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Sep%202019%2013:48:47%20GMT	https://www.chezlartisan.ma/wp-content/uploads/2019/09/Slider-02.jpg	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/uploads/2019/09/Slider-02.jpg	(from https://www.chezlartisan.ma/)
10:52:37	9830/9830	---MCZ	200	added ('OK')	text/css	etag:W/%22610-1636840345;;;%22	https://www.chezlartisan.ma/wp-content/plugins/wpt-whatsapp/assets/css/public.css?ver=2.2.5	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/wpt-whatsapp/assets/css/public5bf8.css	(from https://www.chezlartisan.ma/)
10:52:38	1641/1641	---MCZ	200	added ('OK')	text/css	etag:W/%22612-1636840345;;;%22	https://www.chezlartisan.ma/wp-content/plugins/wpt-whatsapp/assets/css/auto-generated-wptwa.css?ver=1570828941	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/wpt-whatsapp/assets/css/auto-generated-wptwac8db.css	(from https://www.chezlartisan.ma/)
10:52:39	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%22611-1636840345;;;%22	https://www.chezlartisan.ma/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.2	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/contact-form-7/includes/css/styles4245.css	(from https://www.chezlartisan.ma/)
10:52:40	44315/44315	---MCZ	200	added ('OK')	text/css	etag:W/%22613-1636840345;;;%22	https://www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.core.fonts.min.css?ver=5.8.2	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.core.fonts.min080f.css	(from https://www.chezlartisan.ma/)
10:52:40	771/771	---MC-	200	added ('OK')	application/rss+xml	etag:%22d3ecbd360aa0c5448bd692dad6da7c18%22	https://www.chezlartisan.ma/comments/feed/	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/comments/feed/index.html	(from https://www.chezlartisan.ma/)
10:52:41	1098/1098	---MC-	200	added ('OK')	application/rss+xml	etag:%22ba883fc580e0b945ead694d1801b9161%22	https://www.chezlartisan.ma/feed/	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/feed/index.html	(from https://www.chezlartisan.ma/)
10:52:42	123536/123536	---MCZ	200	added ('OK')	text/css	etag:W/%22614-1636840345;;;%22	https://www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.core.plugins.min.css?ver=5.8.2	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.core.plugins.min080f.css	(from https://www.chezlartisan.ma/)
10:52:43	484758/484758	---MCZ	200	added ('OK')	text/css	etag:W/%22615-1636840345;;;%22	https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.1	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/js_composer/assets/css/js_composer.mind3c7.css	(from https://www.chezlartisan.ma/)
10:52:43	38181/38181	---MCZ	200	added ('OK')	text/css	etag:W/%22616-1636840345;;;%22	https://www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.shortcode.min.css?ver=5.8.2	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.shortcode.min080f.css	(from https://www.chezlartisan.ma/)
10:52:43	218854/218854	---MCZ	200	added ('OK')	text/css	etag:W/%22617-1636840345;;;%22	https://www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.vc.shortcodes.min.css?ver=5.8.2	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.vc.shortcodes.min080f.css	(from https://www.chezlartisan.ma/)
